"Volleyball, beach",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Wrestling,354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Wallyball,413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Backpacking, Hiking with pack",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Carrying, infant, level ground",207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Carrying, infant, upstairs",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
"Carrying, 16 to 24 lbs, upstairs",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Carrying, 25 to 49 lbs, upstairs",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Standing, playing with children, light",165,197,229,261,2.802969408,2.798175251,2.802036811,2.804791417,2.806874153
"Walk/run, playing with children, moderate",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Walk/run, playing with children, vigorous",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
Carrying small children,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Loading, unloading car",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Climbing hills, carrying up to 9 lbs",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Climbing hills, carrying 10 to 20 lb",443,528,613,698,7.509308242,7.512676582,7.510027594,7.508022438,7.506506356
"Climbing hills, carrying 21 to 42 lb",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Climbing hills, carrying over 42 lb",531,633,735,838,9.005730796,9.005036715,9.00349899,9.002278128,9.01210935
Walking downstairs,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Hiking, cross country",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Bird watching,148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
"Marching, rapidly, military",384,457,531,605,6.505578962,6.512116947,6.500156459,6.503686647,6.506355795
"Children's games, hopscotch, dodgeball",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
Pushing stroller or walking with children,148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
Pushing a wheelchair,236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Race walking,384,457,531,605,6.505578962,6.512116947,6.500156459,6.503686647,6.506355795
"Rock climbing, mountain climbing",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Walking using crutches,295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
Walking the dog,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Walking, under 2.0 mph, very slow",118,141,163,186,2.000840677,2.00111927,2.005518732,1.996423585,2.000301121
"Walking 2.0 mph, slow",148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
Walking 2.5 mph,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Walking 3.0 mph, moderate",195,232,270,307,3.303831647,3.306934387,3.299860609,3.306959312,3.30157228
"Walking 3.5 mph, brisk pace",224,267,311,354,3.803142804,3.798734886,3.797684408,3.809127208,3.807024713
"Walking 3.5 mph, uphill",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Walking 4.0 mph, very brisk",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
Walking 4.5 mph,372,443,515,586,6.30484572,6.308613292,6.301026939,6.307718688,6.302023961
Walking 5.0 mph,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Boating, power, speed boat",148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
"Canoeing, camping trip",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Canoeing, rowing, light",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Canoeing, rowing, moderate",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Canoeing, rowing, vigorous",708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
"Crew, sculling, rowing, competition",708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
Kayaking,295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
Paddle boat,236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Windsurfing, sailing",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Sailing, competition",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
"Sailing, yachting, ocean sailing",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Skiing, water skiing",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Ski mobiling,413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Skin diving, fast",944,1126,1308,1489,16.01455022,16.00895416,16.01570278,16.02038067,16.01316327
"Skin diving, moderate",738,880,1022,1163,12.51422499,12.51547476,12.51671266,12.5174534,12.50725916
"Skin diving, scuba diving",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
Snorkeling,295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
"Surfing, body surfing or board surfing",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Whitewater rafting, kayaking, canoeing",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
"Swimming, freestyle, fast",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
"Swimming, freestyle, slow",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Swimming, backstroke",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Swimming, breaststroke",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
Swimming butterfly,649,774,899,1024,11.00963347,11.00615599,11.00901772,11.01094971,11.01241047
"Swimming leisurely, not laps",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Swimming sidestroke,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Swimming synchronized,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Swimming, treading water, fast, vigorous",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
"Swimming, treading water, moderate",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Water aerobics, water calisthenics",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Water polo,590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
Water volleyball,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
Water jogging,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Diving, springboard or platform",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Ice skating, < 9 mph",325,387,449,512,5.505405566,5.511557312,5.504508861,5.499350856,5.506205235
"Ice skating, average speed",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Ice skating, rapidly",531,633,735,838,9.005730796,9.005036715,9.00349899,9.002278128,9.01210935
"Speed skating, ice, competitive",885,1056,1226,1396,15.01437683,15.00839453,15.02005519,15.01604488,15.01301271
"Cross country snow skiing, slow",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Cross country skiing, moderate",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Cross country skiing, vigorous",531,633,735,838,9.005730796,9.005036715,9.00349899,9.002278128,9.01210935
"Cross country skiing, racing",826,985,1144,1303,14.01064755,14.00783489,14.01018405,14.01170909,14.01286215
"Cross country skiing, uphill",974,1161,1348,1536,16.51503904,16.5177133,16.51352658,16.51030057,16.51861571
"Snow skiing, downhill skiing, light",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
"Downhill snow skiing, moderate",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Downhill snow skiing, racing",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Sledding, tobagganing, luge",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
Snow shoeing,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Snowmobiling,207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
General housework,207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
Cleaning gutters,295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
Painting,266,317,368,419,4.508294169,4.510997677,4.508861264,4.507263062,4.506054675
"Sit, playing with animals",148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
"Walk / run, playing with animals",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Bathing dog,207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Mowing lawn, walk, power mower",325,387,449,512,5.505405566,5.511557312,5.504508861,5.499350856,5.506205235
"Mowing lawn, riding mower",148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
"Walking, snow blower",207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Riding, snow blower",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
Shoveling snow by hand,354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Raking lawn,254,303,351,400,4.304498928,4.307494022,4.309731744,4.299047106,4.30172284
"Gardening, general",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Bagging grass, leaves",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Watering lawn or garden,89,106,123,140,1.507280096,1.509318772,1.507694934,1.506503687,1.505602994
"Weeding, cultivating garden",266,317,368,419,4.508294169,4.510997677,4.508861264,4.507263062,4.506054675
"Carpentry, general",207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
Carrying heavy loads,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
Carrying moderate loads upstairs,472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
General cleaning,207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Cleaning, dusting",148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
Taking out trash,177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Walking, pushing a wheelchair",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Teach physical education,exercise class",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
